Building Type	Wood Bonus	Mercury Bonus	Ore Bonus	Sulfur Bonus	Crystal Bonus	Gem Bonus	Fight Value to Break	AI Value to Break	Cost to Break (in Gold)	Dependance on other buildings (44 bits)	Hero Experience to break	Army Hit Points to break
15	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
16	2	0	2	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
17	0	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
18	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
19	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
20	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
21	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
22	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
23	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
24	4	0	0	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
25	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
26	30	0	30	0	0	0	0	0	5000	00000000000000000000000000000011111111111111	2000	1000
27	2	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
28	0	0	2	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
29	3	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
30	3	0	0	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
31	0	0	4	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
32	2	0	0	0	0	0	0	0	350	00000000000000000000000000000000000000000000	2000	1000
33	5	0	0	0	0	0	0	0	550	00000000000000000000000000000000000000000000	2000	1000
34	0	0	5	0	0	0	0	0	800	00000000000000000000000000000000000000000000	2000	1000
35	7	0	0	0	0	0	0	0	1100	00000000000000000000000000000000000000000000	2000	1000
36	0	0	7	0	0	0	0	0	1450	00000000000000000000000000000000000000000000	2000	1000
37	4	0	0	0	0	0	0	0	150	00000000000000000000000000000000000000000000	2000	1000
38	0	0	5	0	0	0	0	0	250	00000000000000000000000000000000000000000000	2000	1000
39	3	0	0	0	0	0	0	0	400	00000000000000000000000000000000000000000000	2000	1000
40	6	0	0	0	0	0	0	0	600	00000000000000000000000000000000000000000000	2000	1000
41	0	0	6	0	0	0	0	0	900	00000000000000000000000000000000000000000000	2000	1000
42	10	0	0	0	0	0	0	0	1200	00000000000000000000000000000000000000000000	2000	1000
43	0	5	0	5	5	5	0	0	1600	00000000000000000000000000000000000000000000	2000	1000
Tower												
0	3	0	3	0	0	0	0	0	200	01111000000000000000000000100011111111111111	2000	1000
1	0	2	0	1	0	0	0	0	400	00111000000000000000000000100011111111111111	2000	1000
2	0	0	0	0	1	2	0	0	800	00011000000000000000000000100011111111111111	2000	1000
3	0	0	0	3	0	0	0	0	1600	00001000000000000000000000100011111111111111	2000	1000
4	0	0	0	0	3	0	0	0	3200	00000000000000000000000000100011111111111111	2000	1000
5	2	0	2	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
6	0	0	0	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
7	8	0	8	0	0	0	0	0	1500	11111000110001000000000000100011111111111111	2000	1000
8	5	0	5	0	0	0	0	0	1000	11111000010001000000000000100011111111111111	2000	1000
9	3	0	3	0	0	0	0	0	500	11111000000001000000000000100011111111111111	2000	1000
10	0	0	0	0	0	0	0	0	500	11111001110111000000000000100011111111111111	2000	1000
11	1	0	1	0	0	0	0	0	1000	11111001110011000000000000100011111111111111	2000	1000
12	2	0	2	0	0	0	0	0	2000	11111001110001000000000000100011111111111111	2000	1000
13	3	0	3	0	0	0	0	0	4000	11111000000000000000000000100011111111111111	2000	1000
14	4	0	0	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
15	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
16	2	0	2	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
17	0	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
18	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
19	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
20	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
21	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
22	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
23	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
24	4	0	0	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
25	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
26	30	0	30	0	0	0	0	0	5000	00000000000000000000000000000011111111111111	2000	1000
27	2	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
28	0	0	2	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
29	3	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
30	3	0	0	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
31	0	0	4	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
32	2	0	0	0	0	0	0	0	350	00000000000000000000000000000000000000000000	2000	1000
33	5	0	0	0	0	0	0	0	550	00000000000000000000000000000000000000000000	2000	1000
34	0	0	5	0	0	0	0	0	800	00000000000000000000000000000000000000000000	2000	1000
35	7	0	0	0	0	0	0	0	1100	00000000000000000000000000000000000000000000	2000	1000
36	0	0	7	0	0	0	0	0	1450	00000000000000000000000000000000000000000000	2000	1000
37	4	0	0	0	0	0	0	0	150	00000000000000000000000000000000000000000000	2000	1000
38	0	0	5	0	0	0	0	0	250	00000000000000000000000000000000000000000000	2000	1000
39	3	0	0	0	0	0	0	0	400	00000000000000000000000000000000000000000000	2000	1000
40	6	0	0	0	0	0	0	0	600	00000000000000000000000000000000000000000000	2000	1000
41	0	0	6	0	0	0	0	0	900	00000000000000000000000000000000000000000000	2000	1000
42	10	0	0	0	0	0	0	0	1200	00000000000000000000000000000000000000000000	2000	1000
43	0	5	0	5	5	5	0	0	1600	00000000000000000000000000000000000000000000	2000	1000
Inferno												
0	3	0	3	0	0	0	0	0	200	01111000000000000000000000100011111111111111	2000	1000
1	0	2	0	1	0	0	0	0	400	00111000000000000000000000100011111111111111	2000	1000
2	0	0	0	0	1	2	0	0	800	00011000000000000000000000100011111111111111	2000	1000
3	0	0	0	3	0	0	0	0	1600	00001000000000000000000000100011111111111111	2000	1000
4	0	0	0	0	3	0	0	0	3200	00000000000000000000000000100011111111111111	2000	1000
5	2	0	2	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
6	0	0	0	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
7	8	0	8	0	0	0	0	0	1500	11111000110001000000000000100011111111111111	2000	1000
8	5	0	5	0	0	0	0	0	1000	11111000010001000000000000100011111111111111	2000	1000
9	3	0	3	0	0	0	0	0	500	11111000000001000000000000100011111111111111	2000	1000
10	0	0	0	0	0	0	0	0	500	11111001110111000000000000100011111111111111	2000	1000
11	1	0	1	0	0	0	0	0	1000	11111001110011000000000000100011111111111111	2000	1000
12	2	0	2	0	0	0	0	0	2000	11111001110001000000000000100011111111111111	2000	1000
13	3	0	3	0	0	0	0	0	4000	11111000000000000000000000100011111111111111	2000	1000
14	4	0	0	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
15	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
16	2	0	2	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
17	0	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
18	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
19	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
20	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
21	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
22	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
23	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
24	4	0	0	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
25	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
26	30	0	30	0	0	0	0	0	5000	00000000000000000000000000000011111111111111	2000	1000
27	2	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
28	0	0	2	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
29	3	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
30	3	0	0	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
31	0	0	4	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
32	2	0	0	0	0	0	0	0	350	00000000000000000000000000000000000000000000	2000	1000
33	5	0	0	0	0	0	0	0	550	00000000000000000000000000000000000000000000	2000	1000
34	0	0	5	0	0	0	0	0	800	00000000000000000000000000000000000000000000	2000	1000
35	7	0	0	0	0	0	0	0	1100	00000000000000000000000000000000000000000000	2000	1000
36	0	0	7	0	0	0	0	0	1450	00000000000000000000000000000000000000000000	2000	1000
37	4	0	0	0	0	0	0	0	150	00000000000000000000000000000000000000000000	2000	1000
38	0	0	5	0	0	0	0	0	250	00000000000000000000000000000000000000000000	2000	1000
39	3	0	0	0	0	0	0	0	400	00000000000000000000000000000000000000000000	2000	1000
40	6	0	0	0	0	0	0	0	600	00000000000000000000000000000000000000000000	2000	1000
41	0	0	6	0	0	0	0	0	900	00000000000000000000000000000000000000000000	2000	1000
42	10	0	0	0	0	0	0	0	1200	00000000000000000000000000000000000000000000	2000	1000
43	0	5	0	5	5	5	0	0	1600	00000000000000000000000000000000000000000000	2000	1000
Necropolis												
0	3	0	3	0	0	0	0	0	200	01111000000000000000000000100011111111111111	2000	1000
1	0	2	0	1	0	0	0	0	400	00111000000000000000000000100011111111111111	2000	1000
2	0	0	0	0	1	2	0	0	800	00011000000000000000000000100011111111111111	2000	1000
3	0	0	0	3	0	0	0	0	1600	00001000000000000000000000100011111111111111	2000	1000
4	0	0	0	0	3	0	0	0	3200	00000000000000000000000000100011111111111111	2000	1000
5	2	0	2	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
6	0	0	0	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
7	8	0	8	0	0	0	0	0	1500	11111000110001000000000000100011111111111111	2000	1000
8	5	0	5	0	0	0	0	0	1000	11111000010001000000000000100011111111111111	2000	1000
9	3	0	3	0	0	0	0	0	500	11111000000001000000000000100011111111111111	2000	1000
10	0	0	0	0	0	0	0	0	500	11111001110111000000000000100011111111111111	2000	1000
11	1	0	1	0	0	0	0	0	1000	11111001110011000000000000100011111111111111	2000	1000
12	2	0	2	0	0	0	0	0	2000	11111001110001000000000000100011111111111111	2000	1000
13	3	0	3	0	0	0	0	0	4000	11111000000000000000000000100011111111111111	2000	1000
14	4	0	0	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
15	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
16	2	0	2	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
17	0	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
18	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
19	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
20	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
21	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
22	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
23	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
24	4	0	0	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
25	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
26	30	0	30	0	0	0	0	0	5000	00000000000000000000000000000011111111111111	2000	1000
27	2	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
28	0	0	2	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
29	3	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
30	3	0	0	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
31	0	0	4	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
32	2	0	0	0	0	0	0	0	350	00000000000000000000000000000000000000000000	2000	1000
33	5	0	0	0	0	0	0	0	550	00000000000000000000000000000000000000000000	2000	1000
34	0	0	5	0	0	0	0	0	800	00000000000000000000000000000000000000000000	2000	1000
35	7	0	0	0	0	0	0	0	1100	00000000000000000000000000000000000000000000	2000	1000
36	0	0	7	0	0	0	0	0	1450	00000000000000000000000000000000000000000000	2000	1000
37	4	0	0	0	0	0	0	0	150	00000000000000000000000000000000000000000000	2000	1000
38	0	0	5	0	0	0	0	0	250	00000000000000000000000000000000000000000000	2000	1000
39	3	0	0	0	0	0	0	0	400	00000000000000000000000000000000000000000000	2000	1000
40	6	0	0	0	0	0	0	0	600	00000000000000000000000000000000000000000000	2000	1000
41	0	0	6	0	0	0	0	0	900	00000000000000000000000000000000000000000000	2000	1000
42	10	0	0	0	0	0	0	0	1200	00000000000000000000000000000000000000000000	2000	1000
43	0	5	0	5	5	5	0	0	1600	00000000000000000000000000000000000000000000	2000	1000
Dungeon												
0	3	0	3	0	0	0	0	0	200	01111000000000000000000000100011111111111111	2000	1000
1	0	2	0	1	0	0	0	0	400	00111000000000000000000000100011111111111111	2000	1000
2	0	0	0	0	1	2	0	0	800	00011000000000000000000000100011111111111111	2000	1000
3	0	0	0	3	0	0	0	0	1600	00001000000000000000000000100011111111111111	2000	1000
4	0	0	0	0	3	0	0	0	3200	00000000000000000000000000100011111111111111	2000	1000
5	2	0	2	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
6	0	0	0	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
7	8	0	8	0	0	0	0	0	1500	11111000110001000000000000100011111111111111	2000	1000
8	5	0	5	0	0	0	0	0	1000	11111000010001000000000000100011111111111111	2000	1000
9	3	0	3	0	0	0	0	0	500	11111000000001000000000000100011111111111111	2000	1000
10	0	0	0	0	0	0	0	0	500	11111001110111000000000000100011111111111111	2000	1000
11	1	0	1	0	0	0	0	0	1000	11111001110011000000000000100011111111111111	2000	1000
12	2	0	2	0	0	0	0	0	2000	11111001110001000000000000100011111111111111	2000	1000
13	3	0	3	0	0	0	0	0	4000	11111000000000000000000000100011111111111111	2000	1000
14	4	0	0	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
15	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
16	2	0	2	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
17	0	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
18	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
19	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
20	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
21	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
22	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
23	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
24	4	0	0	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
25	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
26	30	0	30	0	0	0	0	0	5000	00000000000000000000000000000011111111111111	2000	1000
27	2	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
28	0	0	2	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
29	3	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
30	3	0	0	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
31	0	0	4	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
32	2	0	0	0	0	0	0	0	350	00000000000000000000000000000000000000000000	2000	1000
33	5	0	0	0	0	0	0	0	550	00000000000000000000000000000000000000000000	2000	1000
34	0	0	5	0	0	0	0	0	800	00000000000000000000000000000000000000000000	2000	1000
35	7	0	0	0	0	0	0	0	1100	00000000000000000000000000000000000000000000	2000	1000
36	0	0	7	0	0	0	0	0	1450	00000000000000000000000000000000000000000000	2000	1000
37	4	0	0	0	0	0	0	0	150	00000000000000000000000000000000000000000000	2000	1000
38	0	0	5	0	0	0	0	0	250	00000000000000000000000000000000000000000000	2000	1000
39	3	0	0	0	0	0	0	0	400	00000000000000000000000000000000000000000000	2000	1000
40	6	0	0	0	0	0	0	0	600	00000000000000000000000000000000000000000000	2000	1000
41	0	0	6	0	0	0	0	0	900	00000000000000000000000000000000000000000000	2000	1000
42	10	0	0	0	0	0	0	0	1200	00000000000000000000000000000000000000000000	2000	1000
43	0	5	0	5	5	5	0	0	1600	00000000000000000000000000000000000000000000	2000	1000
Stronghold												
0	3	0	3	0	0	0	0	0	200	01111000000000000000000000100011111111111111	2000	1000
1	0	2	0	1	0	0	0	0	400	00111000000000000000000000100011111111111111	2000	1000
2	0	0	0	0	1	2	0	0	800	00011000000000000000000000100011111111111111	2000	1000
3	0	0	0	3	0	0	0	0	1600	00001000000000000000000000100011111111111111	2000	1000
4	0	0	0	0	3	0	0	0	3200	00000000000000000000000000100011111111111111	2000	1000
5	2	0	2	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
6	0	0	0	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
7	8	0	8	0	0	0	0	0	1500	11111000110001000000000000100011111111111111	2000	1000
8	5	0	5	0	0	0	0	0	1000	11111000010001000000000000100011111111111111	2000	1000
9	3	0	3	0	0	0	0	0	500	11111000000001000000000000100011111111111111	2000	1000
10	0	0	0	0	0	0	0	0	500	11111001110111000000000000100011111111111111	2000	1000
11	1	0	1	0	0	0	0	0	1000	11111001110011000000000000100011111111111111	2000	1000
12	2	0	2	0	0	0	0	0	2000	11111001110001000000000000100011111111111111	2000	1000
13	3	0	3	0	0	0	0	0	4000	11111000000000000000000000100011111111111111	2000	1000
14	4	0	0	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
15	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
16	2	0	2	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
17	0	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
18	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
19	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
20	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
21	0	0	4	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
22	4	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
23	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
24	4	0	0	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
25	0	0	4	0	0	0	0	0	2000	00000000000000000000000000000000000000000000	2000	1000
26	30	0	30	0	0	0	0	0	5000	00000000000000000000000000000011111111111111	2000	1000
27	2	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
28	0	0	2	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
29	3	0	0	0	0	0	0	0	1000	00000000000000000000000000000000000000000000	2000	1000
30	3	0	0	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
31	0	0	4	0	0	0	0	0	200	00000000000000000000000000000000000000000000	2000	1000
32	2	0	0	0	0	0	0	0	350	00000000000000000000000000000000000000000000	2000	1000
33	5	0	0	0	0	0	0	0	550	00000000000000000000000000000000000000000000	2000	1000
34	0	0	5	0	0	0	0	0	800	00000000000000000000000000000000000000000000	2000	1000
35	7	0	0	0	0	0	0	0	1100	00000000000000000000000000000000000000000000	2000	1000
36	0	0	7	0	0	0	0	0	1450	00000000000000000000000000000000000000000000	2000	1000
37	4	0	0	0	0	0	0	0	150	00000000000000000000000000000000000000000000	2000	1000
38	0	0	5	0	0	0	0	0	250	00000000000000000000000000000000000000000000	2000	1000
39	3	0	0	0	0	0	0	0	400	00000000000000000000000000000000000000000000	2000	1000
40	6	0	0	0	0	0	0	0	600	00000000000000000000000000000000000000000000	2000	1000
41	0	0	6	0	0	0	0	0	900	00000000000000000000000000000000000000000000	2000	1000
42	10	0	0	0	0	0	0	0	1200	00000000000000000000000000000000000000000000	2000	1000
43	0	5	0	5	5	5	0	0	1600	00000000000000000000000000000000000000000000	2000	1000
Fortress												
0	3	0	3	0	0	0	0	0	200	01111000000000000000000000100011111111111111	2000	1000
1	0	2	0	1	0	0	0	0	400	00111000000000000000000000100011111111111111	2000	1000
2	0	0	0	0	1	2	0	0	800	00011000000000000000000000100011111111111111	2000	1000
3	0	0	0	3	0	0	0	0	1600	00001000000000000000000000100011111111111111	2000	1000
4	0	0	0	0	3	0	0	0	3200	00000000000000000000000000100011111111111111	2000	1000
5	2	0	2	0	0	0	0	0	100	00000000000000000000000000000000000000000000	2000	1000
6	0	0	0	0	0	0	0	0	500	00000000000000000000000000000000000000000000	2000	1000
7	8	0	8	0	0	0	0	0	1500	11111000110001000000000000100011111111111111	2000	1000
8	5	0	5	0	0	0	0	0	1000	11111000010001000000000000100011111111111111	2000	1000
9	3	0	3	0	0	0	0	0	500	11111000000001000000000000100011111111111111	2000	1000
10	0	0	0	0	0	0	0	0	500	11111001110111000000000000100011111111111111	2000	1000
11	1	0	1	0	0	0	0	0	1000	11111001110011000000000000100011111111111111	2000	1000
12	2	0	2	0	0	0	0	0	2000	11111001110001000000000000100011111111111111	2000	1000
13	3	0	3	0	0	0	0	0	4000	11111000000000000000000000100011111111111111	2000	1000
